street,label,classi,neighbourhood,garage,latitude,longitude,lot_size,population,population_ratio,crimes,suites
76 AVENUE NW,1594000.00,Non Residential,SOUTHEAST (ANNEXED) INDUSTRIAL,N,53.51275126,-113.3735418,8303,0,0,0,0
100 AVENUE NW,384000.00,Residential,OLIVER,N,53.53846363,-113.5199942,0,18123,7.89544688,4538,1
HILLIARD GREEN NW,578500.00,Residential,HODGSON,Y,53.46070189,-113.5605556,512,2714,11.26589595,123,0
95 STREET NW,421500.00,Residential,BONNIE DOON,Y,53.52375396,-113.4726185,325,4539,16.23728814,1432,0
99A AVENUE NW,389500.00,Residential,LA PERLE,Y,53.53570436,-113.6490367,584,4847,9.464174455,753,0
TERWILLEGAR BOULEVARD NW,613500.00,Residential,TERWILLEGAR TOWNE,Y,53.44504594,-113.5661214,837,6184,15.82824427,380,0
25 AVENUE NW,246000.00,Residential,BLUE QUILL ESTATES,N,53.4564874,-113.5365007,0,1219,3.571428571,153,0
76 AVENUE NW,382000.00,Residential,KING EDWARD PARK,Y,53.51258001,-113.4506459,570,4248,14.06132075,1200,0
83 AVENUE NW,149500.00,Residential,IDYLWYLDE,N,53.5188043,-113.4543268,0,1822,10.16666667,457,1
141 AVENUE NW,190500.00,Residential,BANNERMAN,N,53.60425297,-113.3751996,0,3029,11.53456221,605,0
43 AVENUE NW,157500.00,Residential,KINISKI GARDENS,N,53.48085439,-113.3971086,0,6080,12.47003155,663,1
56 STREET SW,437500.00,Residential,CHARLESWORTH,Y,53.43114961,-113.4276225,369,5462,5.259927798,349,0
139 STREET NW,198000.00,Residential,CUMBERLAND,N,53.61344083,-113.559218,0,6078,12.60215054,488,1
MILL WOODS ROAD EAST NW,292500.00,Residential,POLLARD MEADOWS,Y,53.45078235,-113.410059,0,4570,5.642369021,696,1
112 STREET NW,288500.00,Residential,OLIVER,N,53.53666754,-113.5144899,0,18123,7.89544688,4538,1
111A STREET NW,461500.00,Residential,GREENFIELD,Y,53.46782277,-113.5184249,620,3687,24.96153846,367,0
22 STREET NW,397500.00,Residential,KERNOHAN,Y,53.5893046,-113.3772037,851,2992,25.84042553,382,0
14 STREET NW,212000.00,Residential,FRASER,N,53.61350085,-113.3635371,510,3489,17.06617647,439,0
47 STREET NW,430000.00,Residential,HOMESTEADER,Y,53.58913514,-113.4139212,635,3545,9.544,819,0
24 AVENUE SW,390000.00,Residential,SUMMERSIDE,Y,53.41067057,-113.4575856,372,13360,7.621794872,781,0
74 STREET NW,329500.00,Residential,KILDARE,Y,53.6047569,-113.4547225,557,2702,18.42391304,1013,0
ANNETT COMMON SW,347500.00,Residential,ALLARD,Y,53.40085536,-113.5368558,214,3133,5.075812274,85,0
FALCONER ROAD NW,658500.00,Residential,FALCONER HEIGHTS,Y,53.46469621,-113.5883102,696,1967,28.11904762,113,0
31 AVENUE NW,131000.00,Residential,SWEET GRASS,N,53.46281372,-113.5242766,0,2677,9.8,312,1
105 AVENUE NW,389000.00,Other Residential,QUEEN MARY PARK,N,53.54798024,-113.514993,718,6946,3.411526795,2643,0
122 STREET NW,358000.00,Residential,CARLISLE,Y,53.60434375,-113.5311154,619,3752,12.31884058,511,0
10 AVENUE NW,386000.00,Residential,MENISA,Y,53.43852255,-113.446157,631,2623,24.02083333,319,0
152 AVENUE NW,380000.00,Residential,FRASER,Y,53.61517509,-113.3720168,489,3489,17.06617647,439,0
WATES LINK SW,574500.00,Residential,WINDERMERE,Y,53.4324639,-113.6197586,649,8128,11.31350114,358,0
LEE RIDGE ROAD NW,331000.00,Residential,LEE RIDGE,Y,53.4674944,-113.4390282,651,2712,12.57471264,393,0
LAKEWOOD VILLAGE NW,200000.00,Residential,KAMEYOSEK,N,53.45927676,-113.4396307,0,2403,8.507537688,432,0
HILL VIEW CRESCENT NW,436000.00,Residential,HILLVIEW,Y,53.46679205,-113.4199087,697,3332,11.13043478,416,0
STONY PLAIN ROAD NW,155000.00,Residential,GLENORA,N,53.54391428,-113.5622125,0,3513,32.12162162,626,1
40 AVENUE NW,323000.00,Residential,TWEDDLE PLACE,Y,53.47664041,-113.4630733,520,3284,4.39893617,454,0
90 STREET NW,396000.00,Residential,KLARVATTEN,Y,53.63985331,-113.4783479,389,5730,17.73170732,424,0
CASTLE DOWNS ROAD NW,237500.00,Residential,BEAUMARIS,N,53.61707299,-113.515214,0,4398,18.08387097,658,1
114 STREET NW,314000.00,Residential,OLIVER,N,53.54174703,-113.5181521,0,18123,7.89544688,4538,1
67A STREET NW,406000.00,Residential,OTTEWELL,Y,53.53596103,-113.4336381,650,5729,27.95890411,1172,0
109A AVENUE NW,390500.00,Residential,CAPILANO,Y,53.55874408,-113.4170576,500,2534,57.02325581,274,0
167A AVENUE NW,350500.00,Residential,CANOSSA,N,53.62953615,-113.5261009,306,3284,22.74,285,0
53 AVENUE NW,500000.00,Residential,LENDRUM PLACE,Y,53.48996372,-113.5199012,557,1720,9.972477064,293,0
142 AVENUE NW,342000.00,Residential,NORTHMOUNT,Y,53.60383131,-113.4692042,602,3192,9.75739645,781,0
119 AVENUE NW,695000.00,Residential,PRINCE CHARLES,Y,53.57211637,-113.538216,697,1281,11.53191489,787,0
121 STREET NW,129500.00,Residential,OLIVER,N,53.5421619,-113.5301833,0,18123,7.89544688,4538,1
JASPER AVENUE NW,561500.00,Residential,OLIVER,N,53.54063435,-113.5287722,0,18123,7.89544688,4538,1
95 STREET NW,328000.00,Residential,EVANSDALE,Y,53.61218117,-113.4876914,579,5804,5.283450704,1079,0
176 STREET NW,259000.00,Residential,CALLINGWOOD NORTH,Y,53.50942105,-113.6243894,0,2376,4.240223464,506,0
78 AVENUE NW,373000.00,Residential,CALLINGWOOD NORTH,Y,53.51119039,-113.6238558,669,2376,4.240223464,506,0
48 AVENUE NW,419500.00,Residential,THE HAMPTONS,Y,53.48498759,-113.670437,383,11560,9.406326034,776,0
GRAHAM WYND NW,424500.00,Residential,GLASTONBURY,Y,53.50507442,-113.6674841,414,6393,17.0233463,557,0
STONY PLAIN ROAD NW,675000.00,Non Residential,GLENWOOD,N,53.54100917,-113.6039882,2359,4979,4.207874016,1573,0
95 STREET NW,205000.00,Residential,LAGO LINDO,N,53.63696953,-113.4870076,0,3933,26.58695652,372,1
